company_id,type_of_company_id_ref,label,infrastructure_type_id,Primary topic
 Baidu, Internet,Intel, Commercial partnership, Artificial Intelligence
 Baidu, Internet,Ford, Commercial partnership, Artificial Intelligence
 Baidu, Internet,"Qualcomm Technologies, Inc.", Commercial partnership, Artificial Intelligence
 Baidu, Internet,Effie Awards , Commercial partnership, Artificial Intelligence
 Baidu,,Ford partnership, Commercial partnership, Artificial Intelligence
 Baidu,,Nvidia partnership, Commercial partnership, Artificial Intelligence
 Baidu,,Intel partnership, Commercial partnership, Artificial Intelligence
 Baidu,,Microsoft partnership, Commercial partnership, Artificial Intelligence
 Baidu,,Sectigo partnership, Commercial partnership,
 Baidu,,Snap Inc partnership, Commercial partnership,
 Baidu,,Tesla partnership, Commercial partnership,
 Baidu,,Amazon collaboration, Commercial partnership,
 Baidu, Internet,Atomwise, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Engine Biosciences, Investment or joint venture, Biotech
 Baidu, Internet,Baidu Ventures, Investment or joint venture,
 Baidu, Internet,Velodyne Lidar, Investment or joint venture,
 Baidu, Internet,Uber, Investment or joint venture,
 Baidu, Internet,Lightelligence Inc, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Strateos , Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Quantapore, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Probius Dx, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Rain Neuromorphics, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,CubeWorks, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,RootPath Genomics, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Lunewave, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Jeeva Wireless, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Avail, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,AutomationHero, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Snark, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Sherlock, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Zensors, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,"Veo Robotics, Inc.", Investment or joint venture, Artificial Intelligence
 Baidu, Internet,"Simple Machines, Inc.", Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Kebotix, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,DeepBiome Therapeutics, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Near Protocol, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Correlia Biosystems, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Cornami, Investment or joint venture, Artificial Intelligence
 Baidu, Internet,Coral Genomics, Investment or joint venture, Artificial Intelligence
 Baidu,,TrustGo acquisition, Investment or joint venture,
 Baidu,,BlackRock Inc., Investor,
 Baidu,,Renaissance Technologies Corp, Investor,
 Baidu,,Integrity Partners Inc., Investor,
 Baidu,,Peninsula Capital, Investor,
 Baidu, Internet,Baidu Lab, Overseas Office,
 Baidu, Internet,Baidu Lab, Overseas Office,
 Baidu,,Sidley Austin LLP, PR or lobbying,
 Baidu, Internet,Comet Labs, Research partnership, Artificial Intelligence
 Baidu, Internet,xPerception, Subsidiary, Artificial Intelligence
 Baidu, Internet,Baidu Venture office, Subsidiary,
 Baidu, Internet,US subsidiary, Subsidiary,
 Baidu, Internet,Partnership on AI,, Artificial Intelligence
 China Telecom, Telecommunications,CyrusOne Sterling, Data centre,
 China Telecom, Telecommunications,Cyxtera SC8, Data centre,
 China Telecom, Telecommunications,CyrusOne, Data centre,
 China Telecom, Telecommunications,Equinix SV3, Data centre,
 China Telecom, Telecommunications,Digital Realty, Data centre,
 China Telecom, Telecommunications,Cyxtera LA1, Data centre,
 China Telecom, Telecommunications,Equinix LA3, Data centre,
 China Telecom, Telecommunications,Equinix NY8, Data centre,
 China Telecom, Telecommunications,Equinix LA4, Data centre,
 China Telecom, Telecommunications,Equinix DC12, Data centre,
 China Telecom, Telecommunications,Equinix NY1, Data centre,
 China Telecom, Telecommunications,Telehouse Teleport, Data centre,
 China Telecom, Telecommunications,Equinix LA2, Data centre,
 China Telecom, Telecommunications,PhoenixNAP, Data centre,
 China Telecom, Telecommunications,Telehouse Chelsea, Data centre,
 China Telecom, Telecommunications,"Cyxtera SC4, SC5, SC9", Data centre,
 China Telecom, Telecommunications,Coresite LA2, Data centre,
 China Telecom, Telecommunications,Coresite DE1, Data centre,
 China Telecom, Telecommunications,Viawest PRT1, Data centre,
 China Telecom, Telecommunications,Equinix SV8, Data centre,
 China Telecom, Telecommunications,Equinix DA3, Data centre,
 China Telecom, Telecommunications,Digital Realty CHI1, Data centre,
 China Telecom, Telecommunications,Zayo zColo, Data centre,
